wine_upc,item_desc_truth,brand_family_truth,size_truth,color_truth,Period Descriptions,$,$ YA,9 Liter Equivs,9 Liter Equivs YA,Units,Units YA,Max Item %ACV Reach Where Dist WINE,Max Item %ACV Reach YA Where Dist WINE,$ Per Point of Max Item ACV,# Stores,# Stores Selling,$ per Store Selling,arp_truth,arp_ly_truth,prestige_truth
1160781750,HEIDSIECK & CO. MONOPOLE SPK CHAMPAGNE WHITE WHITE EXTRA DRY CHAMPAGNE FRANCE 750ML,HEIDSIECK & CO. MONOPOLE,750ML,WHITE,Latest 52 Wks,29286.50,33294.90,57.48,67.71,690.00,813.00,0.00%,0.00%,650811.09,238866,43,685.64,$42.46,$40.98,
8175383511,MOET & CHANDON IMPERIAL 750ML,MOET & CHANDON,750ML,WHITE,Latest 52 Wks,29170.66,442820.75,50.83,765.22,610.00,9183.00,0.00%,0.00%,571973.63,238866,105,276.70,$47.82,$48.22,
337089600100,PHILIPPONNAT RSV SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,PHILIPPONNAT,750ML,WHITE,Latest 52 Wks,29136.64,11249.26,32.45,16.26,389.00,195.00,0.00%,0.00%,355324.82,238866,66,443.64,$74.83,$57.67,
69494704029,BESSERAT DE BELLEFON SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,BESSERAT DE BELLEFON,750ML,WHITE,Latest 52 Wks,28894.33,53252.43,43.05,116.65,517.00,1400.00,0.00%,0.00%,177265.82,238866,135,214.40,$55.94,$38.04,
8175381309,KRUG GRANDE CUVEE 750ML,KRUG,750ML,WHITE,Latest 52 Wks,28853.40,18698.01,5.52,4.67,66.00,56.00,0.00%,0.00%,1254495.52,238866,32,907.48,$435.27,$333.89,Prestige
827582870696,VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK CHAMPAGNE FRANCE 1.5L,VEUVE CLICQUOT,1.5L,PINK,Latest 52 Wks,28599.06,2949.51,27.50,2.83,165.00,17.00,0.00%,0.00%,2042790.00,238866,20,1429.95,$173.33,$173.5,
8175382614,VEUVE CLICQUOT RICH 1.5L,VEUVE CLICQUOT,1.5L,WHITE,Latest 52 Wks,28586.93,17920.10,29.48,18.41,177.00,110.00,0.00%,0.00%,4083847.14,238866,19,1514.78,$161.61,$162.25,
327582840963,ARMAND DE BRIGNAC SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 1.5L,ARMAND DE BRIGNAC,1.5L,PINK,Latest 52 Wks,28308.75,0.00,4.97,0.00,30.00,0.00,0.00%,0.00%,2830875.20,238866,30,949.74,$949.99,,
66494100267,CANARD-DUCHENE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 375ML,CANARD-DUCHENE,375ML,WHITE,Latest 52 Wks,28170.13,32557.57,46.43,54.92,1114.00,1318.00,0.00%,0.00%,908713.77,238866,91,310.78,$25.28,$24.7,
85870700603,CHEURLIN THOMAS SPK CHAMPAGNE BLANC DE BLANC WHITE EXTRA BRUT CHAMPAGNE FRANCE 750ML,CHEURLIN THOMAS,750ML,WHITE,Latest 52 Wks,28156.30,14081.60,44.30,16.75,532.00,201.00,0.00%,0.00%,96096.58,238866,65,436.09,$52.96,$70.06,
84329100769,BILLECART-SALMON ROSE 750ML,BILLECART-SALMON,750ML,PINK,Latest 52 Wks,28138.27,142828.86,25.39,134.88,305.00,1619.00,0.00%,0.00%,331038.51,238866,69,408.43,$92.35,$88.25,
87967500200,AUBRY SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,AUBRY,750ML,PINK,Latest 52 Wks,27624.60,43600.89,36.86,60.83,442.00,730.00,0.00%,0.00%,328864.23,238866,70,395.23,$62.46,$59.73,
85283210529,PERRIER JOUET BELLE EPOQUE 750ML,PERRIER JOUET,750ML,WHITE,Latest 52 Wks,27579.51,25972.30,10.26,9.60,123.00,115.00,0.00%,0.00%,835742.85,238866,42,661.32,$224.01,$225.4,Prestige
89236300002,CHARLES DE CAZANOVE SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,CHARLES DE CAZANOVE,750ML,PINK,Latest 52 Wks,27328.77,30094.54,59.02,69.32,708.00,832.00,0.00%,0.00%,379566.31,238866,85,321.41,$38.59,$36.18,
306267034385,REMOVE - NOT FRENCH CHAMPAGNE,REMOVE - NOT FRENCH CHAMPAGNE,REMOVE - NOT FRENCH CHAMPAGNE,REMOVE - NOT FRENCH CHAMPAGNE,Latest 52 Wks,26627.94,6801.75,154.17,39.50,1850.00,474.00,0.00%,0.00%,375041.41,238866,24,1109.50,$14.39,$14.35,
84064112100,VILMART & CIE COEUR D CUV SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,VILMART & CIE,750ML,WHITE,Latest 52 Wks,26432.93,25375.24,27.88,29.23,335.00,351.00,0.00%,0.00%,314677.77,238866,54,492.00,$79.02,$72.35,
72081554320,DELAMOTTE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,DELAMOTTE,750ML,WHITE,Latest 52 Wks,26396.50,56362.67,36.92,98.08,443.00,1177.00,0.00%,0.00%,1147673.91,238866,34,776.37,$59.59,$47.89,
8974432006,POL ROGER WINSTON CHURCHILL 750ML,POL ROGER,750ML,WHITE,Latest 52 Wks,26178.11,66875.31,6.94,18.86,83.00,226.00,0.00%,0.00%,707516.49,238866,38,691.96,$314.36,$295.51,Prestige
8811055955,DOM PERIGNON CHAMPAGNE 750ML,DOM PERIGNON,750ML,WHITE,Latest 52 Wks,26144.16,20717.23,11.74,7.14,141.00,86.00,0.00%,0.00%,1634009.81,238866,45,587.38,$185.55,$241.82,Prestige
337582899953,BILLECART-SALMON EXTRA BRUT 750ML,BILLECART-SALMON,750ML,WHITE,Latest 52 Wks,26122.56,0.00,22.76,0.00,273.00,0.00,0.00%,0.00%,1536621.06,238866,27,953.59,$95.67,,
8974431715,POL ROGER SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,POL ROGER,750ML,PINK,Latest 52 Wks,25976.28,8468.39,15.75,5.50,189.00,66.00,0.00%,0.00%,285453.63,238866,56,467.07,$137.44,$128.31,
76150381145,PAUL BARA SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,PAUL BARA,750ML,WHITE,Latest 52 Wks,25966.83,16884.22,35.54,23.61,426.00,283.00,0.00%,0.00%,590155.23,238866,42,615.79,$60.89,$59.59,
326916201093,JOSEPH PERRIER SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 1.5L,JOSEPH PERRIER,1.5L,WHITE,Latest 52 Wks,25917.73,32725.48,29.50,42.00,177.00,252.00,0.00%,0.00%,589039.32,238866,93,277.48,$146.43,$129.86,
