Nielsen Item Names,Nielsen Item Names ID,Brand Families,Colors,Sizes,Period Descriptions, $, $ YA, 9 Liter Equivs, 9 Liter Equivs YA,Units,Units LY, %ACV Reach Where Dist NON ALCOHOLIC, %ACV Reach Where Dist YA NON ALCOHOLIC, $ Per Point of ACV,# Stores,# Stores Selling,$ per Store Selling,GT,# Stores Last Period,# Stores Selling Last Period,$ per Store Selling Last Period,Prestige,ARP,ARP LY,ACV Calc
PERRIER JOUET GRAND BRUT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,1098601035,PERRIER JOUET,WHITE,750ML,Latest 26 Wks,3580077.454,3137442.295,4643.723,4245.157,55724.676,50941.881,0.13033,0.1207,274693.2751,261037.091,6582.469,543.8806402,TOTAL,260922,6393,548.19,,64.25,61.59,2.52%
PERRIER JOUET GRAND BRUT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,1098601035,PERRIER JOUET,WHITE,750ML,Latest 13 Wks,1805939.448,1489084.177,2335.813,2001.644,28029.762,24019.733,0.10657,0.09727,169460.3967,261185.275,5463.494,330.546615,TOTAL,260997,5507,344.58,,64.43,61.99,2.09%
PERRIER JOUET GRAND BRUT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,1098601035,PERRIER JOUET,WHITE,750ML,Latest 4 Wks,495112.888,423374.739,643.713,561.762,7724.553,6741.144,0.06018,0.05377,82271.99867,261443.248,3008.337,164.5802608,TOTAL,261123,3221,175.98,,64.10,62.80,1.15%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 375ML,8175305022,VEUVE CLICQUOT,WHITE,375ML,Latest 52 Wks,7951763.061,8133631.897,8393.706,8953.598,201448.919,214886.337,0.19239,0.19077,413314.7804,260960.495,8791.671,904.4654948,TOTAL,260885,8775,913.23,,39.47,37.85,3.37%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 375ML,8175305022,VEUVE CLICQUOT,WHITE,375ML,Latest 26 Wks,3486719.303,3352601.238,3705.543,3591.869,88933.031,86204.854,0.16059,0.15754,217119.3289,261037.091,7143.152,488.1205528,TOTAL,260922,7107,493.93,,39.21,38.89,2.74%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 375ML,8175305022,VEUVE CLICQUOT,WHITE,375ML,Latest 13 Wks,1647047.906,1590266.817,1761.872,1688.458,42284.922,40523,0.12148,0.13072,135581.8164,261185.275,5262.383,312.9851829,TOTAL,260997,5548,328.45,,38.95,39.24,2.01%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 375ML,8175305022,VEUVE CLICQUOT,WHITE,375ML,Latest 4 Wks,412789.282,475190.578,454.362,496.92,10904.691,11926.086,0.0687,0.07526,60085.77613,261443.248,3055.832,135.0824528,TOTAL,261123,3273,158.99,,37.85,39.84,1.17%
LAURENT-PERRIER SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8487816100,LAURENT-PERRIER,WHITE,750ML,Latest 52 Wks,6323222.974,6544840.229,8904.435,9116.09,106853.223,109393.085,0.06979,0.06291,906035.6747,260960.495,5307.83,1191.30096,TOTAL,260885,5242,1210.08,,59.18,59.83,2.03%
LAURENT-PERRIER SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8487816100,LAURENT-PERRIER,WHITE,750ML,Latest 26 Wks,2571272.62,2615193.137,3619.801,3583.359,43437.616,43000.314,0.06094,0.05392,421935.1198,261037.091,4518.044,569.1119033,TOTAL,260922,4536,557.44,,59.19,60.82,1.73%
LAURENT-PERRIER SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8487816100,LAURENT-PERRIER,WHITE,750ML,Latest 13 Wks,1305190.972,1284469.962,1837.441,1773.44,22049.296,21281.275,0.05213,0.04553,250372.333,261185.275,3706.863,352.1012166,TOTAL,260997,3701,357.03,,59.19,60.36,1.42%
